地市名称,区县名称,站点名称,经度,纬度
济南,历下区,市监测站 ,117.0486111,36.66222222
济南,历下区,山东经济学院,117.0688889,36.63777778
济南,历下区,高新学校,117.1655556,36.64611111
济南,历下区,泉城广场,117.0211111,36.66138889
济南,市中区,科干所,116.9880556,36.61138889
济南,市中区,山东鲁能,117.0241667,36.59277778
济南,槐荫区,农科所,116.945,36.663
济南,槐荫区, 机床二厂,116.9427778,36.64088889
济南,天桥区,兰翔技校,116.9477778,36.70027778
济南,天桥区,化工厂,116.9886111,36.68722222
济南,历城区,省种子仓库,117.0602778,36.68527778
济南,历城区,山东建筑大学,117.1858333,36.68138889
济南,历城区,宝胜电缆,117.1247222,36.72256667
济南,历城区,跑马岭,117.2130556,36.4785
济南,长清区,长清区委党校,116.7651667,36.54861111
济南,高新区,开发区 ,117.1247222,36.68538889
青岛,市南区,市南区东部子站,120.403259,36.06525
青岛,市南区,市南区西部子站,120.294134,36.054169
青岛,市北区,市北区子站,120.336184,36.069711
青岛,市北区,四方区子站,120.36125,36.103886
青岛,黄岛区,黄岛区子站,120.185909,35.958797
青岛,黄岛区,黄岛区北部,120.155109,35.970289
青岛,崂山区,崂山区子站,120.446784,36.085636
青岛,崂山区,仰口,120.660697,36.240156
青岛,崂山区,崂山区中部,120.48547,36.090925
青岛,李沧区,李沧区子站,120.380186,36.18457
青岛,李沧区,李沧区南部,120.427178,36.154078
青岛,城阳区,城阳区子站,120.39492,36.308156
青岛,城阳区,城阳区南部,120.460772,36.308156
淄博,淄川区,淄川气象站,117.9544444,36.63777778
淄博,淄川区,凤凰山,117.9233333,36.66555556
淄博,张店区,人民公园,118.0422222,36.80833333
淄博,张店区,东风化工厂,118.0447222,36.83805556
淄博,张店区,新区,118.0175,36.84333333
淄博,张店区,南定,118.0244444,36.80305556
淄博,博山区,博山双山,117.8477778,36.49722222
淄博,博山区,青龙山,117.8702778,36.45972222
淄博,临淄区,临淄莆田园,118.3091667,36.81972222
淄博,临淄区,齐鲁石化,118.2491667,36.76555556
淄博,周村区,周村三金集团,117.8511111,36.80416667
淄博,周村区,职业学院 ,117.9205556,36.825
淄博,开发区,开发区,118.0158333,36.90472222
枣庄,市中区,市中区政府,117.5638889,34.85138889
枣庄,市中区,污水处理厂    ,117.5897222,34.82
枣庄,薛城区,薛城区环保局,117.2666667,34.79111111
枣庄,峄城区,峄城区政府,117.5708333,34.77388889
枣庄,台儿庄区,台儿庄环保局,117.7352778,34.58055556
枣庄,山亭区,山亭区环保局,117.4516667,35.07083333
枣庄,新城区,市环保局       ,117.3147222,34.81027778
枣庄,开发区,高新区,117.3575,34.8225
东营,东城区,市环保局 ,118.6672222,37.43138889
东营,东城区,广南水库,118.8191667,37.37805556
东营,东城区,职业学院,118.625,37.43805556
东营,东城区,现河采油厂,118.5044444,37.44166667
东营,东营区,耿井村,118.5527778,37.44444444
东营,东营区,市环保公司,118.5022222,37.46583333
东营,东营区,胜利医院,118.6408333,37.47222222
东营,河口区,河口区,118.5163889,37.88305556
东营,开发区,开发区  ,118.6961111,37.43444444
烟台,芝罘区,轴承厂,121.371706,37.54311096
烟台,芝罘区,西郊化工站,121.3185607,37.546224
烟台,芝罘区,鲁东大学,121.3553673,37.52368316
烟台,福山区,福山区监测站,121.2550926,37.47141415
烟台,牟平区,牟平区环保局,121.5817255,37.37605485
烟台,莱山区,莱山区环保局,121.4430704,37.47743887
烟台,莱山区,莱山盛泉工业园,121.4031242,37.42609554
烟台,经济技术开发区,开发区环保局,121.2529217,37.5599778
烟台,经济技术开发区,开发区B 区,121.1421659,37.60240665
烟台,经济技术开发区,大季家,121.0662505,37.67283315
烟台,高新区,中国农业大学,121.5068398,37.42276743
潍坊,潍城区,刘家园,119.0919444,36.73055556
潍坊,潍城区,经济开发区,119.0481667,36.71955556
潍坊,潍城区,商校,119.0999444,36.68194444
潍坊,寒亭区,寒亭区,119.1938889,36.77305556
潍坊,坊子区,共达公司,119.1613889,36.65722222
潍坊,奎文区,市环保局   ,119.1625,36.70083333
潍坊,奎文区,市仲裁委,119.14,36.70194444
潍坊,奎文区,鑫汇集团,119.1108333,36.64111111
潍坊,高新开发区,锦程中学,119.1095667,36.77305556
济宁,市中区,市监测站,116.6186111,35.40888889
济宁,任城区,电化厂,116.5476111,35.39088889
济宁,任城区,任城开发区,116.6576111,35.39088889
济宁,任城区,农业学校,116.5963889,35.44277778
济宁,高新区,圣地度假村,116.6936111,35.42505556
济宁,北湖区,污水处理厂  ,116.6038889,35.36477778
济宁,开发区,开发区火炬城,116.6376111,35.43677778
泰安,泰山区,泰山监测站,117.14383611,36.19397778
泰安,泰山区,山东电力学校,117.1180556,36.17583333
泰安,泰山区,人口学校,117.0980556,36.19416667
泰安,泰山区,厚丰公司,117.1841667,36.20472222
泰安,泰山区,农大新校,117.1591667,36.17
泰安,泰山区,交通技校,117.0411111,36.20194444
泰安,高新区,信通科技,117.1013889,36.11638889
威海,环翠区,市环境监测站,122.0620045,37.51292649
威海,环翠区,木工机械厂,122.1558142,37.32453537
威海,环翠区,蓝天宾馆,122.1412574,37.51363425
威海,环翠区,张村政府,122.0444208,37.48458826
威海,高新区,高区交行,122.0512579,37.53392123
威海,高新区,华夏技校,122.1257714,37.42694682
日照,东港区,市政府广场,119.5205556,35.40777778
日照,东港区,港务局,119.5486111,35.38166667
日照,东港区,市监测站  ,119.4908333,35.38888889
日照,东港区,教授花园,119.5688889,35.4625
日照,东港区,职业技术学院,119.5327778,35.44222222
日照,岚山区,岚山环保分局,119.34,35.29361111
日照,开发区,金马工业园,119.5086111,35.37361111
莱芜,莱城区,植物油厂,117.695,36.205
莱芜,莱城区,市环保局,117.6888889,36.22888889
莱芜,莱城区,老年公寓,117.6469444,36.26611111
莱芜,莱城区,新一中学,117.7330556,36.245
莱芜,开发区,日晟国际学校,117.725,36.20805556
莱芜,钢城区,钢城区环保局,117.8661111,36.06694444
临沂,兰山区,鲁南制药厂,118.2938889,35.06222222
临沂,兰山区,沂河小区,118.3416667,35.05722222
临沂,兰山区,临沂大学,118.2877778,35.11527778
临沂,兰山区,市环保局(南坊),118.3477778,35.10527778
临沂,罗庄区,新光毛纺厂,118.2763889,34.98166667
临沂,罗庄区,洪福酒业,118.2516667,34.99944444
临沂,河东区,河东保险公司,118.4023333,35.08972222
临沂,河东区,江华汽贸,118.43,35.01055556
德州,德城区,黑马集团,116.3083333,37.46527778
德州,德城区,儿童乐园,116.3061111,37.46638889
德州,德城区,监测站,116.3713889,37.43222222
德州,德城区,监理站,116.3188889,37.44888889
德州,德城区,华宇技校,116.3516667,37.46194444
德州,德城区,双一集团,116.3105556,37.47805556
聊城,东昌府区,东昌区政府,115.9661111,36.44444444
聊城,东昌府区,二轻机械厂,115.9966667,36.45666667
聊城,东昌府区,市委党校,115.9836111,36.47944444
聊城,东昌府区,海关,115.9513889,36.43194444
聊城,东昌府区,洪顺花园,115.9547222,36.47111111
聊城,开发区,开发区   ,116.0377778,36.45916667
滨州,滨城区,市环保局  ,118.0208333,37.37944444
滨州,滨城区,北中新校,117.9830556,37.38305556
滨州,滨城区,第二水厂,117.9966667,37.36083333
滨州,滨城区,科灵化工,117.9377778,37.39555556
滨州,滨城区,银河物流,117.9375,37.35555556
滨州,滨城区,碧林小区,117.9730556,37.3675
菏泽,牡丹区,气象局,115.4227778,35.24888889
菏泽,牡丹区,牡丹高新区,115.4086111,35.24361111
菏泽,牡丹区,菏泽学院,115.455,35.27
菏泽,开发区,污水处理厂   ,115.5258333,35.22305556
菏泽,开发区,市政协,115.4747222,35.2375
菏泽,开发区,华润制药,115.5191667,35.26194444